fecha,broker,tipo_operacion,tipo_activo,ticker,isin,cantidad,precio_unitario,moneda_original,importe_bruto,importe_eur,tipo_cambio,comisiones_eur,importe_neto_eur,notas
2020-03-03,Degiro,BUY,Stock,MAS,ES0184696104,2.0,19.22,EUR,38.44,40.46,,2.02,-40.46,
2020-03-30,Degiro,BUY,Stock,MAS,ES0184696104,12.0,14.07,EUR,168.84,170.92,,2.08,-170.92,
2020-04-20,Degiro,BUY,Stock,META,US30303M1027,1.0,177.51,USD,177.51,163.91,1.0863,0.66,-163.91,
2020-04-20,Degiro,BUY,Stock,DIS,US2546871060,2.0,103.0,USD,206.0,190.13,1.0864,0.7,-190.13,
2020-04-20,Degiro,BUY,ETF,CSPX,IE0031442068,7.0,26.247,EUR,183.73,183.73,,0.0,-183.73,
2020-04-20,Degiro,BUY,Stock,IAG,ES0177542018,20.0,2.766,EUR,55.32,57.35,,2.03,-57.35,
2020-04-20,Degiro,BUY,Stock,CLNX,ES0105066007,3.0,50.1,EUR,150.3,152.38,,2.08,-152.38,
2020-04-20,Degiro,BUY,Stock,AIR,NL0000235190,6.0,58.78,EUR,352.68,354.86,,2.18,-354.86,
2020-05-07,Degiro,BUY,Stock,PINS,US72352L1061,5.0,18.44,USD,92.2,86.14,1.0768,0.61,-86.14,
2020-05-12,Degiro,BUY,Stock,UBER,US90353T1007,3.0,32.7,USD,98.1,90.88,1.0855,0.6,-90.88,
2020-05-13,Degiro,BUY,ETF,CSPX,IE0031442068,3.0,26.25,EUR,78.75,78.75,,0.0,-78.75,
2020-05-19,Kraken,BUY,Crypto,BTC,,0.0282,8794.33,EUR,248.0,248.0,,0.64,-248.64,Kraken UI screenshot (comisión estimada 0.26%)
2020-06-29,Degiro,BUY,Stock,BYND,US08862E1091,2.0,128.12,USD,256.24,228.4,1.1244,0.74,-228.4,
2020-09-02,Degiro,BUY,Stock,AAPL,US0378331005,2.0,129.82,USD,259.64,219.93,1.1833,0.73,-219.93,
2020-09-25,Degiro,BUY,Stock,IAG,ES0177542018,30.0,0.92,EUR,27.6,27.6,,0.0,-27.6,
2020-10-07,Degiro,SELL,Stock,IAG,ES0177542018,30.0,0.92,EUR,27.6,27.6,,0.0,27.6,
2020-10-07,Degiro,BUY,Stock,IAG,ES0177542018,30.0,0.92,EUR,27.6,27.6,,0.0,-27.6,
2021-01-28,Degiro,SELL,Stock,MAS,ES0184696104,14.0,22.5,EUR,315.0,315.0,,0.0,315.0,OPA Masmovil
2021-05-04,Degiro,BUY,Stock,TWTR,US90184L1026,5.0,53.73,USD,268.65,223.95,1.2024,0.74,-223.95,
2021-05-19,Kraken,BUY,Crypto,BTC,,0.00779,32092.43,EUR,250.0,250.0,,0.65,-250.65,Kraken UI screenshot (comisión estimada 0.26%)
2021-05-19,Kraken,BUY,Crypto,ETH,,0.11117,2248.81,EUR,250.0,250.0,,0.65,-250.65,Kraken UI screenshot (comisión estimada 0.26%)
2021-12-03,Kraken,BUY,Crypto,SOL,,0.9389,213.02,EUR,200.0,200.0,,0.52,-200.52,Kraken UI screenshot (comisión estimada 0.26%)
2022-01-24,Degiro,SELL,Stock,UBER,US90353T1007,3.0,34.2815,USD,102.84,90.29,1.1328,0.73,89.56,
2022-01-24,Trading212,BUY,Stock,BABA,,1.454166,108.8633,USD,158.31,146.2,1.0828,0,-146.2,
2022-01-24,Trading212,BUY,Stock,SHOP,,2.119315,72.5413,USD,153.74,136.54,1.126,0,-136.54,
2022-01-25,Kraken,BUY,Crypto,BTC,,0.00606,32419.14,EUR,196.46,196.46,,0.51,-196.97,Kraken UI screenshot (comisión estimada 0.26%)
2022-01-25,Kraken,BUY,Crypto,BTC,,0.00012,31916.67,EUR,3.83,3.83,,0.01,-3.84,Kraken UI screenshot (comisión estimada 0.26%)
2022-01-25,Kraken,BUY,Crypto,ETH,,0.13909,2162.27,EUR,300.75,300.75,,0.78,-301.53,Kraken UI screenshot (comisión estimada 0.26%)
2022-01-25,Kraken,BUY,Crypto,SOL,,1.19878,82.54,EUR,98.95,98.95,,0.26,-99.21,Kraken UI screenshot (comisión estimada 0.26%)
2022-02-25,Trading212,BUY,Stock,SHOP,,3.305386,72.5413,USD,239.78,212.95,1.126,0,-212.95,
2022-03-09,Trading212,BUY,Stock,SQ,,0.617096,117.1121,USD,72.27,65.83,1.0978,0,-65.83,
2022-03-09,Trading212,BUY,Stock,MELI,,0.069679,866.449,USD,60.37,56.02,1.0778,0,-56.02,
2022-03-09,Trading212,BUY,Stock,META,,0.347397,208.9911,USD,72.6,66.13,1.0978,0,-66.13,
2022-03-09,Trading212,BUY,Stock,TCEHY,,1.368878,48.2102,USD,65.99,60.8,1.0854,0,-60.8,
2022-04-07,Trading212,BUY,Stock,SQ,,0.55298,117.1121,USD,64.76,58.99,1.0978,0,-58.99,
2022-04-07,Trading212,BUY,Stock,MELI,,0.058253,866.449,USD,50.47,46.83,1.0778,0,-46.83,
2022-04-07,Trading212,BUY,Stock,META,,0.308277,208.9911,USD,64.43,58.69,1.0978,0,-58.69,
2022-04-07,Trading212,BUY,Stock,TCEHY,,1.450717,48.2102,USD,69.94,64.44,1.0854,0,-64.44,
2022-04-29,Trading212,BUY,Stock,BABA,,0.526178,108.8633,USD,57.28,52.9,1.0828,0,-52.9,
2022-04-29,Trading212,BUY,Stock,TCEHY,,1.114632,48.2102,USD,53.74,49.51,1.0854,0,-49.51,
2022-06-10,Trading212,BUY,Stock,MELI,,0.151542,866.449,USD,131.3,121.83,1.0778,0,-121.83,
2022-06-21,Trading212,BUY,Stock,BABA,,1.992254,108.8633,USD,216.88,200.29,1.0828,0,-200.29,
2022-06-22,Trading212,DIVIDEND,Stock,TCEHY,,3.934227,0,USD,0.76,0.72,1.0533,0,0.72,Dividendo
2022-11-02,Degiro,SELL,Stock,TWTR,US90184L1026,5.0,54.2,USD,271.0,278.75,0.9722,0.0,278.75,OPA Twitter
2023-02-02,Kraken,BUY,Crypto,BTC,,0.00684,21929.82,EUR,150.0,150.0,,0.39,-150.39,Kraken UI screenshot (comisión estimada 0.26%)
2023-02-02,Kraken,BUY,Crypto,ETH,,0.09767,1535.78,EUR,150.0,150.0,,0.39,-150.39,Kraken UI screenshot (comisión estimada 0.26%)
2023-04-12,Trading212,DIVIDEND,Stock,TCEHY,,3.934227,0,USD,6.09,5.58,1.0918,0,5.58,Dividendo
2023-04-23,Kraken,BUY,Crypto,BTC,,0.00777,25740.03,EUR,200.0,200.0,,0.52,-200.52,Kraken UI screenshot (comisión estimada 0.26%)
2023-06-21,Trading212,DIVIDEND,Stock,TCEHY,,3.934227,0,USD,1.1,1.01,1.092,0,1.01,Dividendo
2024-01-08,Trading212,BUY,Stock,NU,,63.08471,10.4654,USD,660.2,603.48,1.094,0,-603.48,
2024-01-16,Trading212,BUY,Stock,PLTR,,32.751651,16.59,USD,543.35,499.25,1.0883,0,-499.25,
2024-01-17,Trading212,BUY,Stock,BA,,3.298344,202.4804,USD,667.85,614.63,1.0866,0,-614.63,
2024-01-18,Trading212,DIVIDEND,Stock,BABA,,3.972598,0,USD,3.65,3.35,1.0886,0,3.35,Dividendo
2024-02-16,Degiro,SELL,Stock,DIS,US2546871060,2.0,112.11,USD,224.22,206.56,1.0751,2.52,204.04,
2024-03-26,Trading212,DIVIDEND,Stock,META,,0.655674,0,USD,0.26,0.24,1.0838,0,0.24,Dividendo
2024-04-22,Trading212,SELL,Stock,PLTR,,32.751651,20.72,USD,678.61,638.53,1.0628,0,638.53,
2024-06-17,Trading212,DIVIDEND,Stock,TCEHY,,3.934227,0,USD,1.6,1.5,1.0702,0,1.5,Dividendo
2024-06-26,Trading212,DIVIDEND,Stock,META,,0.655674,0,USD,0.26,0.24,1.071,0,0.24,Dividendo
2024-07-12,Trading212,DIVIDEND,Stock,BABA,,3.972598,0,USD,3.65,3.36,1.0873,0,3.36,Dividendo
2024-07-12,Trading212,DIVIDEND,Stock,BABA,,3.972598,0,USD,2.41,2.22,1.0873,0,2.22,Dividendo
2024-08-12,Trading212,BUY,Stock,NU,,53.818329,10.4654,USD,563.23,514.84,1.094,0,-514.84,
2024-09-26,Trading212,SELL,Stock,SQ,,1.170076,65.79,USD,76.98,69.02,1.1153,0,69.02,
2024-09-26,Trading212,SELL,Stock,BABA,,3.972598,102.88,USD,408.7,366.31,1.1157,0,366.31,
2024-09-26,Trading212,SELL,Stock,NU,,116.903039,14.8367,USD,1734.45,1554.71,1.1156,0,1554.71,
2024-09-26,Trading212,SELL,Stock,SHOP,,5.424701,80.7124,USD,437.84,392.47,1.1156,0,392.47,
2024-09-26,Trading212,SELL,Stock,BA,,3.298344,154.0,USD,507.94,455.32,1.1156,0,455.32,
2024-09-26,Trading212,SELL,Stock,MELI,,0.279474,2144.0,USD,599.19,537.11,1.1156,0,537.11,
2024-09-26,Trading212,SELL,Stock,META,,0.655674,575.0,USD,377.01,337.95,1.1156,0,337.95,
2024-09-26,Trading212,SELL,Stock,TCEHY,,3.934227,55.0,USD,216.38,193.96,1.1156,0,193.96,
2024-09-26,Trading212,DIVIDEND,Stock,META,,0.655674,0,USD,0.26,0.23,1.1131,0,0.23,Dividendo
2025-03-13,Fintual,BUY,Stock,NU,,54.66171674,10.9766,USD,600.0,551.15,1.0886,0,-551.15,
2025-03-13,Fintual,BUY,Stock,AMZN,,3.22240996,195.4841,USD,629.93,578.65,1.0886,0,-578.65,
2025-04-03,Degiro,BUY,ETF,CSPX,IE0031442068,3.0,48.855,EUR,146.56,149.56,,3.0,-149.56,
2025-04-03,Fintual,BUY,ETF,SPY,,0.46105386,542.236,USD,250.0,229.17,1.0909,0,-229.17,
2025-04-03,Fintual,BUY,Stock,AMZN,,2.77589167,180.1223,USD,500.0,458.35,1.0909,0,-458.35,
2025-04-10,Fintual,BUY,Stock,NU,,24.20645249,10.3278,USD,250.0,228.27,1.0952,0,-228.27,
2025-06-04,Fintual,BUY,ETF,IEV,,20.5447679,63.55,USD,1305.62,1146.84,1.1384,0,-1146.84,
2025-06-19,Fintual,DIVIDEND,ETF,IEV,,0,0,USD,20.75,18.08,1.1477,0,18.08,Dividendo
2025-07-30,Fintual,DIVIDEND,ETF,SPY,,0,0,USD,0.73,0.63,1.1551,0,0.63,Dividendo
2025-10-27,Fintual,BUY,ETF,ARGT,,15.99013605,88.2,USD,1410.33,1212.49,1.1632,0,-1212.49,
2025-10-30,Fintual,DIVIDEND,ETF,SPY,,0,0,USD,0.76,0.65,1.1603,0,0.65,Dividendo
2025-12-17,Fintual,BUY,Stock,NU,,12.5814603,15.8964,USD,200.0,170.22,1.175,0,-170.22,
2025-12-18,Fintual,DIVIDEND,ETF,IEV,,0,0,USD,13.9,11.84,1.1742,0,11.84,Dividendo
2025-12-19,Degiro,SELL,Stock,AAPL,US0378331005,2.0,272.4,USD,544.8,462.37,1.1732,3.16,459.21,
2025-12-19,Degiro,SELL,Stock,META,US30303M1027,1.0,667.26,USD,667.26,566.76,1.1732,3.42,563.34,
2025-12-19,Degiro,SELL,Stock,BYND,US08862E1091,2.0,1.04,USD,2.08,0.23,1.1732,2.0,-1.77,
2025-12-19,Degiro,SELL,Stock,PINS,US72352L1061,5.0,26.11,USD,130.55,109.28,1.1732,2.28,107.0,
